,Factor1,Factor2,Factor3,Factor4
2015-01-30,-0.08062947734943929,,,
2015-02-27,-0.009106115485882419,,,
2015-03-31,0.04302291971660756,,,
2015-04-30,0.04999548689507179,,,
2015-05-29,0.12552302832125986,,,
2015-06-30,-0.022051910959936617,,,
2015-07-31,0.030299015981817112,,,
2015-08-31,0.11174214773133553,,,
2015-09-30,0.09592312223774994,,,
2015-10-30,0.05098658442853842,,,
2015-11-30,0.24364237595868068,,,
2015-12-31,0.08404316233631817,,,
2016-01-29,0.0658009123230177,,,
2016-02-29,0.4950179445572311,,,
2016-03-31,0.15638124557203104,,,
2016-04-29,0.028944483382722867,,,
2016-05-31,-0.04723404159421596,,,
2016-06-30,0.22493965645728928,,,
2016-07-29,0.13600304697685506,,,
2016-08-31,-0.017260218221157288,,,
2016-09-30,0.1839601074003305,,,
2016-10-31,0.057012372039038146,,,
2016-11-30,0.06501609487539406,,,
2016-12-30,-0.11100350238777991,,,
2017-01-26,0.10851761296003018,,,
2017-02-28,0.007575912802408552,,,
2017-03-31,-0.15588374602456326,,,
2017-04-28,-0.15970743465632836,,,
2017-05-31,0.12278134314252397,,,
2017-06-30,-0.09270984198105615,,,
2017-07-31,0.3089738652129787,,,
2017-08-31,0.06279985895346397,,,
2017-09-29,0.15399568449919682,,,
2017-10-31,-0.044676758925666124,,,
2017-11-30,0.050167129220059434,,,
2017-12-29,0.0067796693949232715,,,
2018-01-31,0.09748724718046765,,,
2018-02-28,0.05155291753900609,,,
2018-03-30,0.039745872353988985,,,
2018-04-27,0.06481483684427922,,,
2018-05-31,0.05160902036922989,,,
2018-06-29,0.13642597317711305,,,
2018-07-31,-0.08422481537856694,,,
2018-08-31,0.016764297757310358,,,
2018-09-28,0.015117379710910627,,,
2018-10-31,0.138698805887009,,,
2018-11-30,0.06628776208081172,,,
2018-12-28,0.027334865979947737,,,
2019-01-31,0.29169589811829455,,,
2019-02-28,0.029051666479677673,,,
2019-03-29,0.09627760129057802,,,
2019-04-30,0.11834217703084346,,,
2019-05-31,0.12148789783651336,,,
2019-06-28,0.06867767392551416,,,
2019-07-31,-0.03587182193487737,,,
2019-08-30,0.10181812928061475,,,
2019-09-30,0.0210672910742131,,,
2019-10-31,0.033487526016006075,,,
2019-11-29,0.0170795598781518,,,
2019-12-31,-0.028148438001377184,,,
2020-01-23,-0.13177585186857632,,,
2020-02-28,0.10756454222536549,,,
2020-03-31,0.140932658526033,,,
2020-04-30,-0.017200077165300528,,,
2020-05-29,0.045578288624295235,,,
2020-06-30,0.043561540300745535,,,
2020-07-31,0.08944118038015968,,,
2020-08-31,-0.008118373601913283,,,
2020-09-30,-0.00038796002904254893,,,
2020-10-30,0.09308696772356367,,,
2020-11-30,0.010615476522825339,,,
2020-12-31,0.010137879009527099,0.07836262221693725,0.07953903193495614,0.07860746602376109
2021-01-29,0.15334143149091722,,,
2021-02-26,0.055478055075589,,,
2021-03-31,0.17529557535829865,,,
2021-04-30,-0.0797388507000102,,,
2021-05-31,0.011527929472099203,,,
2021-06-30,-0.10941947962587625,,,
2021-07-30,0.04874323994971977,,,
2021-08-31,0.2229287629958209,0.1812508312030657,,0.11355253318331045
2021-09-30,0.06465523819083706,0.06188910254692541,,0.06072188795858422
2021-10-29,0.07668729430260945,0.044049679964160905,,0.054371960138726895
2021-11-30,0.27948219695942483,0.22451653081461037,,0.09710335965982443
2021-12-31,0.11661011227791303,0.16003024002640948,,-0.025137641123362333
2022-01-28,0.07802023019781153,0.017365057062101272,,0.041136267799515916
2022-02-28,0.07431457254088057,0.05120371163873204,,0.040226246348968944
